,broad_type
589,Glutamatergic Neuron
590,Glutamatergic Neuron
591,Glutamatergic Neuron
592,Glutamatergic Neuron
593,Glutamatergic Neuron
594,Glutamatergic Neuron
595,Glutamatergic Neuron
596,Glutamatergic Neuron
597,Glutamatergic Neuron
598,Glutamatergic Neuron
599,Glutamatergic Neuron
600,Glutamatergic Neuron
601,Glutamatergic Neuron
602,Glutamatergic Neuron
603,Glutamatergic Neuron
604,Glutamatergic Neuron
605,Glutamatergic Neuron
606,Glutamatergic Neuron
607,Glutamatergic Neuron
608,Glutamatergic Neuron
609,Glutamatergic Neuron
610,Glutamatergic Neuron
611,Glutamatergic Neuron
612,Glutamatergic Neuron
613,Glutamatergic Neuron
614,Glutamatergic Neuron
615,Glutamatergic Neuron
616,Glutamatergic Neuron
617,Glutamatergic Neuron
618,Glutamatergic Neuron
619,Glutamatergic Neuron
620,Glutamatergic Neuron
621,Glutamatergic Neuron
622,Glutamatergic Neuron
623,Glutamatergic Neuron
624,Glutamatergic Neuron
625,Glutamatergic Neuron
626,Glutamatergic Neuron
627,Glutamatergic Neuron
628,Glutamatergic Neuron
629,Glutamatergic Neuron
630,Glutamatergic Neuron
631,Glutamatergic Neuron
632,Glutamatergic Neuron
633,Glutamatergic Neuron
634,Glutamatergic Neuron
635,Glutamatergic Neuron
636,Glutamatergic Neuron
637,Glutamatergic Neuron
638,Glutamatergic Neuron
639,Glutamatergic Neuron
640,Glutamatergic Neuron
641,Glutamatergic Neuron
642,Glutamatergic Neuron
643,Glutamatergic Neuron
644,Glutamatergic Neuron
645,Glutamatergic Neuron
646,Glutamatergic Neuron
647,Glutamatergic Neuron
648,Glutamatergic Neuron
649,Glutamatergic Neuron
650,Glutamatergic Neuron
651,Glutamatergic Neuron
652,Glutamatergic Neuron
653,Glutamatergic Neuron
654,Glutamatergic Neuron
655,Glutamatergic Neuron
656,Glutamatergic Neuron
657,Glutamatergic Neuron
658,Glutamatergic Neuron
659,Glutamatergic Neuron
660,Glutamatergic Neuron
661,Glutamatergic Neuron
662,Glutamatergic Neuron
663,Glutamatergic Neuron
664,Glutamatergic Neuron
665,Glutamatergic Neuron
666,Glutamatergic Neuron
667,Glutamatergic Neuron
668,Glutamatergic Neuron
669,Glutamatergic Neuron
670,Glutamatergic Neuron
671,Glutamatergic Neuron
672,Glutamatergic Neuron
673,Glutamatergic Neuron
674,Glutamatergic Neuron
675,Glutamatergic Neuron
676,Glutamatergic Neuron
677,Glutamatergic Neuron
678,Glutamatergic Neuron
679,Glutamatergic Neuron
680,Glutamatergic Neuron
681,Glutamatergic Neuron
682,Glutamatergic Neuron
683,Glutamatergic Neuron
684,Glutamatergic Neuron
685,Glutamatergic Neuron
686,Glutamatergic Neuron
687,Glutamatergic Neuron
688,Glutamatergic Neuron
689,Glutamatergic Neuron
690,Glutamatergic Neuron
691,Glutamatergic Neuron
692,Glutamatergic Neuron
693,Glutamatergic Neuron
694,Glutamatergic Neuron
695,Glutamatergic Neuron
696,Glutamatergic Neuron
697,Glutamatergic Neuron
698,Glutamatergic Neuron
699,Glutamatergic Neuron
700,Glutamatergic Neuron
701,Glutamatergic Neuron
702,Glutamatergic Neuron
703,Glutamatergic Neuron
